,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_mid_CO2_fd3_scaled,feature_importance.B_mid_CO2_fd2_scaled,feature_importance.B_mid_CO2_fd1_scaled,feature_importance.B_mid_CO2_scaled
0,0,0,0,0.8680555555555556,0.8648719870341937,0.8372481952416568,0.9070917128186166,0.0015477145036509668,0.016268137061436982,0.8894600538154883,0.009053000087565082,4.577255514341446,0.15722222222222224,0.11506944444444447,0.0877777777777778,-0.002777777777777768
1,0,1,1,0.8099616858237548,0.8090001308877719,0.7790863497251999,0.8073221276845753,0.6708734060195771,1.5704373384848647,-1.0972066879376552,0.21305712493181228,2.5305517353650306,0.15662835249042148,0.12536398467432955,0.10015325670498088,-0.013639846743295003
2,0,2,2,0.8721109399075501,0.8643137049565434,0.8048277892257875,0.883835877595077,1.7744845232762092,1.534565272688214,-0.36481311083530277,-2.7285384979372953,3.0309118431674174,0.12103235747303542,0.0973805855161787,0.0667950693374422,0.005546995377503838
3,0,3,3,0.8854166666666666,0.8869575734715298,0.8875512995896033,0.944436000067555,-0.5933284783895161,-0.4068396387509667,0.42258955647065355,1.7102148176863214,4.473632361157742,0.2036458333333333,0.16935763888888883,0.1264756944444444,0.014149305555555502
4,0,4,4,0.8494094488188977,0.8468339285121097,0.8144985688447153,0.8825925860888194,0.7751010440419723,-0.29816313086105567,0.4930456277038427,-1.1814078254232556,5.890758009762319,0.1540354330708662,0.12450787401574806,0.09832677165354335,-0.009251968503936992
5,1,0,5,0.9104166666666667,0.9118194754144756,0.9021250176589115,0.9521263808029661,1.23228265304924,1.0156256317032404,0.09513555979004269,-0.45558093075093914,2.9422377770144266,0.18104166666666666,0.15145833333333333,0.13236111111111107,-0.0018055555555555492
6,1,1,6,0.9102564102564102,0.9093461077077865,0.8329113383877896,0.9174016016841866,0.9611849299837089,-0.0028520784245383317,0.35802676122006355,-0.5237395871224652,4.56935426298691,0.1289173789173789,0.0935185185185185,0.07635327635327635,0.0
7,1,2,7,0.74079754601227,0.7277175231028806,0.7299857529697038,0.8079740911621236,-0.4921938190587952,1.1771730285812463,2.3980863362859255,0.3506129177594287,0.684777534847759,0.093558282208589,0.04769938650306754,0.029601226993865082,-0.006825153374233073
8,1,3,8,0.7984267453294002,0.8028371806720931,0.7866941425676921,0.8512709522932399,2.3141835425832107,1.754815488016216,0.7538943053951369,-1.329669539113611,1.6244804944270899,0.15988200589970497,0.1259587020648967,0.11150442477876102,-0.042871189773844666
9,1,4,9,0.7791586998087954,0.7719488417776792,0.7749085455077553,0.8668459174714662,2.4364792379179425,0.28962245935397735,0.6324888618605431,-3.146245577986892,4.749353010412042,0.09875717017208409,0.07686424474187377,0.05956022944550663,-0.0025812619502868285
10,2,0,10,0.7622699386503068,0.7522024845099655,0.7507933809361895,0.809862480637727,-1.2542569288508436,0.36493556640993824,3.9160014947559456,1.5631099842428258,1.0571041947594633,0.11027607361963195,0.07407975460122704,0.05789877300613501,-0.02553680981595089
11,2,1,11,0.9066951566951567,0.9057321471502189,0.8326155426223896,0.9212701129750085,-0.1794699803470303,0.8656785150205412,1.2081290455642586,-2.179569462797519,5.207031241615244,0.13141025641025633,0.10462962962962963,0.08076923076923073,0.006695156695156667
12,2,2,12,0.9130434782608695,0.9080857254770299,0.8121593807977736,0.9139972750463823,1.6766040776209548,1.601221539071269,0.957065442201738,-2.639600654047081,2.645320420432068,0.1203898050974512,0.08958020989505242,0.0756371814092953,0.007946026986506672
13,2,3,13,0.8585069444444444,0.8588568929626059,0.859728811072529,0.9272173179439527,-0.04048079222672461,-0.352417918201306,0.34026505482877634,0.12221677080337444,5.264142554937971,0.1822048611111111,0.15538194444444445,0.12421874999999998,0.001996527777777757
14,2,4,14,0.7453294001966568,0.7466778030512206,0.7458175448630872,0.8011288259733245,2.3128700194794725,1.7630865415570438,0.32974765372370685,-1.3693713173680608,2.2488664746181413,0.1369714847590954,0.10993117010816125,0.0920353982300885,-0.04473942969518191
15,3,0,15,0.8458333333333333,0.8414997983453338,0.8116220735785953,0.8804577759197325,0.5294073821587444,0.1797550681572992,0.4106603562880351,-0.9422775363599218,5.340512500704466,0.15111111111111114,0.12215277777777778,0.09284722222222222,0.0033333333333333214
16,3,1,16,0.8618055555555556,0.8618667831922533,0.8191683177335976,0.8683220352278219,-0.632869358922259,1.4925902881647348,0.015552460465873493,0.05124703168601322,3.1375021995246732,0.1556944444444445,0.12659722222222225,0.11020833333333338,-0.011388888888888848
17,3,2,17,0.8181818181818182,0.8154690079465009,0.8205421118755893,0.8811728578315999,0.8364497364944772,1.7635934257635157,1.5500471563794767,-2.0523866280873184,1.0363420018629337,0.12889060092449928,0.07788906009244996,0.07465331278890606,0.009013867488443827
18,3,3,18,0.8987217305801377,0.8975424804549742,0.8686314238349604,0.9128937189169275,2.818745418737972,1.374138719910783,0.7120278538962749,-2.9823044384748942,3.0100579054762737,0.1677482792527041,0.13539823008849564,0.10786627335299907,0.010816125860373716
19,3,4,19,0.8976377952755905,0.8876537290762153,0.7656563806733205,0.8961511461099411,1.4964687978118307,0.25251211216727637,0.7277743356156023,-2.099633219911346,4.8574472953842704,0.09507874015748026,0.06850393700787401,0.045964566929133796,-0.002657480314960625
20,4,0,20,0.8726993865030674,0.871128473432514,0.8499368282371347,0.9132089454304042,-0.4886751777837713,0.3945443485684324,1.387702461228104,1.465070502195176,2.970378073704405,0.16196319018404906,0.13343558282208584,0.10237730061349688,0.0051380368098158935
21,4,1,21,0.8952991452991453,0.8910660412713934,0.8342646685293371,0.9203079820301056,2.2157798093057437,1.3194001497925119,0.29057471047733585,-2.4175845112123238,3.386004845208892,0.1373931623931624,0.11374643874643879,0.07628205128205132,0.008831908831908864
22,4,2,22,0.810727969348659,0.8183700428356764,0.7864918032786885,0.872118032786885,1.9052630306123284,1.6986117967341254,0.6659684217456943,-2.1421291188340312,1.7863259359938963,0.12773946360153254,0.10957854406130266,0.08750957854406129,-0.03187739463601534
23,4,3,23,0.8993055555555556,0.8997351013889074,0.891624867001064,0.945651990339633,-0.9833585495217698,-0.24138206132631682,1.6378461284184447,-0.3264966768567029,4.941735206453238,0.2012152777777778,0.15555555555555559,0.12873263888888892,-0.0024305555555555356
24,4,4,24,0.7676864244741873,0.7618300871222304,0.7673876166242579,0.8215210143020093,-0.05385508563877556,1.2052808128594616,1.1621343756560247,-0.11272726999119549,2.569480191051019,0.11730401529636707,0.07399617590822176,0.05936902485659652,-0.003154875717017236
25,5,0,25,0.8736111111111111,0.878180951044654,0.8846631423196747,0.9525130180257213,0.7129365140374754,-0.5248683588271539,-0.8232627703585097,-0.35493895429868805,6.155154546212132,0.17104166666666668,0.15104166666666669,0.12131944444444445,0.056944444444444464
26,5,1,26,0.8457047539616347,0.8417918218555679,0.8146080368906456,0.8967690741406157,2.3513040669762693,1.1890337139258917,0.5374024705479722,-2.6354448073563286,3.641721922734924,0.14778982485404502,0.10942452043369474,0.09557964970809005,0.0011676396997498007
27,5,2,27,0.8190184049079755,0.815124538705779,0.8070725496902672,0.885617375441797,2.0842318207902113,1.096812607435629,2.156077143047209,-2.6388293055381697,0.8326430941296873,0.14401840490797552,0.08282208588957062,0.06180981595092029,0.007592024539877351
28,5,3,28,0.8754480286738351,0.8731497628705661,0.7994638500671369,0.8524216578096339,2.3442253843205987,1.1699099271107565,-0.9930301296730509,-2.671206554301699,3.9483127555468256,0.1438172043010752,0.10878136200716844,0.07410394265232972,-8.960573476706202e-05
29,5,4,29,0.8255208333333334,0.8148746301596268,0.7693737914621449,0.8355826598575371,-0.28703152655004693,1.0867026369557218,2.31959713130493,-0.023041809268757988,2.2891239207409937,0.11406250000000004,0.09236111111111114,0.06597222222222227,-0.0019097222222221766
30,6,0,30,0.7743628185907047,0.7668733238263905,0.7712273325163858,0.8690867800649811,-0.10509339908571888,-0.23205022753719728,0.1934303384618622,-0.7368994190587799,5.157544749130241,0.09550224887556222,0.07061469265367318,0.05922038980509746,0.00014992503748127993
31,6,1,31,0.905982905982906,0.905982905982906,0.8413830879835673,0.8865730914070523,0.6952507428931834,1.6220030012967583,-1.5774009729497354,-1.5639384697944745,4.273627165320406,0.13824786324786326,0.1158119658119658,0.0873931623931624,0.007478632478632485
32,6,2,32,0.8111111111111111,0.8063200437523032,0.7946655584285236,0.8536145487621516,-0.3728391458710225,1.564977195259839,4.3786491490014505,-0.3174043224519287,-0.0965366133057274,0.1301388888888889,0.06458333333333333,0.06326388888888888,0.012083333333333335
