,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_scaled
0,0,0,0,0.8722222222222222,0.8686106400351737,0.8391895185350152,0.9143485641771227,-0.8154355722580119,-0.0776905309763096,1.9885617412862129,0.22798098276404272,4.065479493559896,0.15812500000000002,0.1171527777777778,0.07687500000000003,0.01361111111111113
1,0,1,1,0.8045977011494253,0.7995084420114115,0.7563532503324841,0.8160121136374562,-0.18981514757734508,0.3454045739401966,0.12242407082249573,-0.6607721361744396,4.803604829154405,0.16176245210727971,0.12038314176245213,0.08697318007662838,-0.01003831417624521
2,0,2,2,0.8389830508474576,0.8259336486850402,0.7553821999803748,0.8680712673647616,-0.02720400898237367,0.31081969216577887,0.7065876642155476,-1.898337809276738,5.190116312360042,0.10708782742681047,0.06810477657935282,0.04661016949152543,0.01302003081664097
3,0,3,3,0.8741319444444444,0.8743295444979903,0.8605411156710747,0.9255509955920354,-0.7703670688851222,0.47619368981698196,2.2745345818901064,-0.8837546526083225,4.037931498204086,0.1755208333333333,0.13142361111111106,0.09809027777777776,0.0004340277777777679
4,0,4,4,0.8346456692913385,0.8281876029277812,0.7828770611270128,0.8809814388817672,-0.18540834481569685,0.020072377208053365,2.752367677790852,-0.7494049619685078,3.7306309230511108,0.12874015748031492,0.09005905511811019,0.06879921259842518,0.0069881889763779405
5,1,0,5,0.875,0.8786245528149124,0.8746849278401106,0.933523182123481,2.277304916546997,0.008498999463070266,-0.5838926968071139,-0.2912596984352224,4.105606212907184,0.18840277777777775,0.15965277777777778,0.12527777777777777,0.01465277777777777
6,1,1,6,0.8917378917378918,0.8919140287692301,0.8119087921935677,0.893987994480875,-0.40164005410093223,-0.01916462297324606,2.04044700814181,-0.9829556104321326,4.843361466595736,0.12977207977207977,0.07720797720797723,0.06638176638176639,0.011111111111111127
7,1,2,7,0.7469325153374233,0.7345416067566536,0.7362978478492646,0.8189636464849462,0.7119938770673961,-0.2664225127115056,2.159768163011501,-1.5754417638122096,3.4433253700882673,0.1128834355828221,0.06848159509202456,0.0441717791411043,-0.004447852760736182
8,1,3,8,0.8859390363815143,0.8826335717919935,0.8398231718548536,0.9175124332289556,0.040500369391555435,0.23622000067636334,2.601999510392223,-1.0694323972660855,3.3899988531302725,0.15083579154375618,0.11022615535889875,0.08269419862340219,0.005408062930186852
9,1,4,9,0.7858508604206501,0.7811846194179647,0.7823895229733685,0.8544483465027803,0.7978782197831642,1.820167684747535,2.9399566890410544,-0.023315671801696025,-0.4965718616387601,0.13260038240917785,0.08116634799235184,0.06720841300191208,-0.007361376673040132
10,2,0,10,0.776840490797546,0.7690670575297317,0.7665051569760852,0.8293003135743701,0.6107620110436942,0.17547956250971225,1.5714292427284535,0.8800276809528573,2.4617202023371347,0.1273006134969325,0.0914877300613497,0.057592024539877315,-0.013343558282208567
11,2,1,11,0.8732193732193733,0.8722208923012137,0.7784388907908251,0.8582848339609722,1.172924870295272,1.3783708850183247,2.4778463183229893,-2.1957403979711447,2.0860450840256486,0.12642450142450148,0.07257834757834764,0.07293447293447299,0.007336182336182384
12,2,2,12,0.8980509745127436,0.8930814406254569,0.7939471243042672,0.8977888740723563,1.2137682359960646,0.1910012045397804,1.9699646719422088,-1.8165610616981465,3.229807063827984,0.10517241379310342,0.06124437781109445,0.054722638680659685,0.01131934032983507
