,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_scaled
0,0,0,0,0.8826388888888889,0.8812798221500774,0.8620042692304459,0.922025615382676,0.798472186291306,-0.8421443380464891,0.023466849768219486,2.365575010948302,3.6548793198831544,0.18145833333333333,0.14749999999999996,0.1145833333333333,0.00777777777777775
1,0,1,1,0.8122605363984674,0.8103427107145939,0.7771635501289877,0.8212784480870815,1.115379543436057,-0.9871616064593663,1.3696823621593486,0.19597815016037906,3.1687987676090916,0.13578544061302678,0.09785440613026816,0.08145593869731799,-0.020689655172413834
2,0,2,2,0.901386748844376,0.8959993070814454,0.8429594740457267,0.9362406605267954,0.4998314724663944,-1.3162608136885985,1.0501971112553403,0.48999984406406566,4.248473017880685,0.12326656394453009,0.09630200308166412,0.07442218798151003,0.006779661016949145
3,0,3,3,0.9036458333333334,0.9050045963745591,0.908937528499772,0.9558223978652616,1.0315540674673702,0.8372961613190887,1.7379892819435832,0.488407529599976,1.2169529538134816,0.18758680555555557,0.16189236111111116,0.12951388888888893,0.023090277777777814
4,0,4,4,0.8710629921259843,0.8651021879684921,0.8199334468892128,0.8998454703496233,0.5550274557065551,-1.2253070080366821,0.24405067695622806,1.6372413090408626,4.381585795911,0.13307086614173227,0.10501968503937012,0.08996062992125985,0.004035433070866135
5,1,0,5,0.9201388888888888,0.9205620897504662,0.9028536801171808,0.9620451126328757,0.5282017101099286,0.2415486083680902,-0.06635724924464532,0.36779192216263235,4.589150849946224,0.1827777777777777,0.1628472222222222,0.12819444444444442,-0.0011805555555555957
6,1,1,6,0.9387464387464387,0.940047843487249,0.9155559664869632,0.9649151505668483,0.8583932526493311,0.6179022879315976,-0.4805248555699646,2.9406476700071087,1.4542449750793578,0.15747863247863245,0.1313390313390313,0.08853276353276349,0.016452991452991415
7,1,2,7,0.7615030674846626,0.7520821956390435,0.751990810193703,0.8270613377112287,2.112161001129186,3.122971029297662,1.8064919210107544,-0.6264676549987943,-2.789849677025734,0.12216257668711657,0.04800613496932514,0.05299079754601227,-0.0008435582822086008
8,1,3,8,0.8898721730580138,0.8881601588626794,0.8548144225455885,0.9172407441517774,0.6060780504952331,-0.5486311688285543,0.903811800861747,1.6826483446138993,3.4162686581027337,0.17522123893805314,0.14316617502458215,0.11514257620452314,0.0038348082595870635
9,1,4,9,0.8326959847036329,0.8294785486512811,0.8294776119402985,0.9096832016388644,2.7774168722773753,-0.497139695260445,-0.33243574917322255,0.48008574464061343,2.6536648707389845,0.12629063097514343,0.09254302103250481,0.08403441682600388,-0.004875717017208359
10,2,0,10,0.7906441717791411,0.7833515694351092,0.7803609883259662,0.8748323510521743,0.6009059695759769,-0.23961745964902165,1.6081514447381302,1.9875587226341496,2.206400145223017,0.11848159509202458,0.06917177914110433,0.05697852760736201,-0.009509202453987675
11,2,1,11,0.9252136752136753,0.9263535300383618,0.8899315302978432,0.9416569667921943,-0.37483595848089396,1.3680676960922746,0.7886491124572711,0.021452244834801338,3.576117565729013,0.153988603988604,0.14551282051282052,0.09943019943019947,0.008974358974358998
12,2,2,12,0.9325337331334332,0.9296475380305631,0.8540048121521335,0.9154249768089053,0.627029955565814,0.9271558825579598,1.5888760760126135,0.12079918341539625,1.8835791856066486,0.1193403298350824,0.0922788605697151,0.07683658170914538,0.002323838080959495
13,2,3,13,0.8689236111111112,0.8693658120182379,0.8727869614124322,0.9304635154301364,1.069305940649684,1.323331445747355,1.1552858469990948,0.46783900889612845,1.1042939751839098,0.1776041666666667,0.15217013888888892,0.11857638888888893,0.019270833333333393
14,2,4,14,0.7944936086529006,0.7938585117659461,0.7861526179071041,0.8669875995964507,2.140649835017315,-1.014666323584402,-0.1708289836324623,1.6479642353244526,2.8133695798988922,0.14700098328416908,0.10393313667649946,0.09213372664700094,-0.02369714847590959
15,3,0,15,0.8666666666666667,0.8628257887517147,0.8337792642140469,0.916565635451505,1.2904139571956634,-1.5192222201677932,-0.772468771513744,1.8514221917683416,4.950789507873201,0.15069444444444446,0.11937500000000001,0.09562500000000002,-0.00215277777777777
16,3,1,16,0.8833333333333333,0.8825841285786038,0.8407460545193688,0.8878337242756181,-0.5705615356866908,-1.4149659962167376,1.2491477529361465,1.6664095159081718,4.341336044516459,0.15229166666666663,0.12305555555555552,0.10201388888888885,-0.0043055555555555625
17,3,2,17,0.8559322033898306,0.8558397379146939,0.8565526757659889,0.8957077070325395,1.9113015884347664,2.4882649942659527,1.812184803723453,-2.5440233033140918,0.11333601308666508,0.1684129429892142,0.12026194144838216,0.10832049306625584,0.01016949152542378
