,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_mid_CO2_fd3_scaled,feature_importance.A_mid_CO2_fd2_scaled,feature_importance.A_mid_CO2_fd1_scaled,feature_importance.A_mid_CO2_scaled
0,0,0,0,0.8972222222222223,0.8955886054086954,0.8746417796303922,0.9319465337714617,0.05904316134051242,-1.4973353132357379,2.1756185383836093,0.669114116711272,4.719188748046815,0.15875,0.13680555555555557,0.09763888888888893,0.006458333333333355
1,0,1,1,0.8275862068965517,0.8203274534085033,0.7722083353362496,0.8174542133346152,0.9123662104193027,1.4549016405301083,1.847447302824984,-0.021591442257365444,-0.1683103970720936,0.12283524904214557,0.09233716475095785,0.07632183908045977,-0.01302681992337167
2,0,2,2,0.8836671802773498,0.8778081536116457,0.8245272439267141,0.9119587310932615,-1.2313068897123345,0.9349928536817466,-0.3390575067902956,0.1506854288511616,3.641862651242005,0.1232665639445301,0.11748844375963023,0.09645608628659477,0.0070107858243452
3,0,3,3,0.9010416666666666,0.900848388671875,0.8871865025079799,0.9430916552667578,0.044791363740060555,0.8946825806966177,2.9687923149304782,0.3623245572865539,0.9659853371505502,0.16805555555555554,0.13107638888888884,0.11987847222222217,0.004340277777777746
4,0,4,4,0.875,0.8700388386296706,0.8282130753156444,0.9030282543417565,-2.604349510913736,-0.07375367059173228,2.5647195387840642,-0.05291597789040086,4.782360599524571,0.1203740157480315,0.09635826771653545,0.07952755905511809,0.0034448818897637734
5,1,0,5,0.91875,0.9194327281995625,0.9044299703330285,0.9533259475710012,2.494613712659721,-0.5666794395343604,-0.4277950140102852,-1.3839055835077587,5.60708171060687,0.1883333333333333,0.16881944444444438,0.13909722222222215,0.0015972222222222165
6,1,1,6,0.9230769230769231,0.9222966637495312,0.8553790131008094,0.9269782791140952,0.06902605821506445,0.04225250226371544,2.7307160334175533,-0.557630368832422,3.067718086256955,0.11189458689458691,0.09337606837606843,0.07642450142450148,0.009472934472934524
7,1,2,7,0.7653374233128835,0.75453350187732,0.7550737354581223,0.8278232236028947,0.7568388065807912,1.632826534534592,3.760570503605609,-2.0967197010128693,0.3084703545148919,0.10046012269938653,0.07607361963190187,0.052760736196319026,-0.005521472392638016
8,1,3,8,0.9164208456243854,0.9144765344623382,0.8803347762018787,0.9426782096150305,0.06296705607319177,-0.9104064848015482,2.2983526120898037,-0.5393916357240465,4.848744006133326,0.15506391347099308,0.13402163225172076,0.09488692232055061,0.00648967551622417
9,1,4,9,0.8346080305927343,0.8327791933713422,0.8321992976294996,0.8924422007609012,1.0806023649692666,1.755821976149943,2.4545569479679257,-1.385445541715539,0.6648740560866807,0.14416826003824093,0.12934990439770558,0.09531548757170176,-0.0046845124282982485
10,2,0,10,0.808282208588957,0.8028934415202381,0.7991518379991689,0.8759138048282897,0.8329105646922309,-0.4432449010913749,3.286062399506865,1.1883441052934263,1.3294000998610562,0.12124233128834354,0.08949386503067484,0.062346625766871167,-0.0033742331288343476
11,2,1,11,0.9216524216524217,0.9214095286143897,0.8647517973296817,0.931817870592263,1.4537984709340066,1.1324845973136628,1.0529879409138636,-0.8865305224068454,2.8939175997532383,0.1346866096866097,0.12037037037037038,0.10227920227920231,0.010826210826210858
12,2,2,12,0.931784107946027,0.929826283835999,0.863966112012987,0.9270241477272726,3.205899162716578,0.4994900608365347,0.21779221267940543,-1.984275065192828,3.399944123418013,0.12721139430284853,0.11049475262368813,0.0922038980509745,0.0059970014992503096
13,2,3,13,0.8741319444444444,0.8741187643922321,0.8722489851812002,0.9232741967036728,0.7213393817016253,0.8218605535645529,2.8285625136321837,0.5802577609094766,0.48030484471052576,0.16883680555555552,0.1355034722222222,0.11675347222222218,0.01319444444444443
14,2,4,14,0.8249754178957719,0.8195986312212271,0.8025487953099306,0.8658754557803676,3.4927304830993893,0.35650772492312816,2.93553308118209,-2.414480650981879,1.3373922502043503,0.14296951819075712,0.10137659783677484,0.06902654867256638,0.000196656833824993
15,3,0,15,0.8194444444444444,0.8056567882400582,0.7600334448160535,0.7791283444816054,-0.8568782365105209,-0.16346667809165774,3.7415345985447006,1.6616660463949195,0.9065017334401467,0.11902777777777776,0.10236111111111108,0.07013888888888886,-0.018611111111111144
16,3,1,16,0.8798611111111111,0.8791463717097368,0.836635467195008,0.875065473343809,1.088294661087366,0.9152578108081112,2.6770190539907457,-0.6153003159645946,0.25628354663115005,0.13194444444444442,0.08402777777777777,0.08930555555555557,0.0025694444444444354
17,3,2,17,0.8189522342064715,0.8162159358838141,0.8213270412319472,0.891183378972443,-1.0215181543517537,2.0439253304446376,0.5412834052505894,-0.4129320549336417,1.8815660403622725,0.11371340523882893,0.09506933744221877,0.0850539291217257,0.006548536209553091
18,3,3,18,0.8997050147492626,0.896928628321443,0.8571514090992816,0.9370878614846198,0.4915209484830196,-0.128902436029672,2.0591788694946844,-1.755312746648225,4.8254921578450105,0.13795476892822028,0.12654867256637167,0.09705014749262539,0.01288102261553592
19,3,4,19,0.8946850393700787,0.8820615528769336,0.7488233678234594,0.8843878765680798,-0.13903808243362858,0.1545210826890961,2.2662935120503342,-1.5381882257280395,4.552947248852283,0.0731299212598425,0.06131889763779528,0.04379921259842512,-0.001279527559055116
