,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled
12,2,2,12,0.9160419790104948,0.9141516336555181,0.8438007305194806,0.9425042033858998,0.16684095855995454,0.19416145078104788,0.8024463481032889,-1.0094239763022526,4.77829079987719,0.1267616191904048,0.09625187406296855,0.07908545727136435,0.008845577211394317
13,2,3,13,0.8602430555555556,0.8592115364192682,0.8529674279845454,0.9221034870641169,3.1346258566911733,-0.1886489710805386,1.1851221927448636,-3.061597014926566,3.976286537124517,0.15460069444444452,0.13142361111111112,0.09895833333333334,0.005468750000000011
14,2,4,14,0.8141592920353983,0.8116635717304534,0.7994685541336002,0.8429017420938492,1.233388513220074,-0.12125441891408394,1.8949760251099677,-0.40564758740458967,2.7852722466538147,0.14995083579154378,0.12251720747295973,0.08780727630285155,-0.016420845624385404
15,3,0,15,0.8708333333333333,0.8684616226932698,0.8449832775919732,0.9203804347826087,2.2953213867839897,0.5389573142505107,1.5766485515476498,-2.2803027810668355,3.0211221277900147,0.17006944444444447,0.11965277777777779,0.09708333333333333,0.003055555555555545
16,3,1,16,0.8826388888888889,0.8841427019531723,0.8598187242376625,0.9135675950597041,0.7503359108138369,0.8116623081516656,0.9689061824208477,-0.5700868476633368,2.519705525929542,0.16986111111111107,0.14395833333333327,0.11673611111111107,-0.00395833333333333
17,3,2,17,0.8073959938366718,0.8050841508268883,0.8095246011822628,0.8874594176085423,2.4480019714810166,1.1296281553760568,1.5779692128579876,-0.32620890005643666,-0.8501886581254363,0.1280431432973806,0.07195685670261943,0.06286594761171034,0.03127889060092452
18,3,3,18,0.8761061946902655,0.8698585919128528,0.8140587585190643,0.9280622582427703,1.6969100187829262,0.1078851132080765,2.192757631220389,-1.726542201173492,2.8094347633464865,0.11435594886922322,0.09921337266470014,0.07492625368731566,0.01602753195673553
19,3,4,19,0.9124015748031497,0.9103530015245994,0.8404511186399293,0.9222476574184293,1.6992908791045558,0.6112108682093688,0.3611354995700404,0.49926147493512446,2.4259363746948153,0.1265748031496063,0.0946850393700788,0.07500000000000008,0.008956692913385888
20,4,0,20,0.875,0.8717494918106902,0.8428695676787015,0.9208204352290008,-1.789504088715362,0.566364847527911,2.8730533955297597,0.8375374393098308,3.4502943489283484,0.1496165644171779,0.11019938650306749,0.09585889570552146,0.009355828220858887
21,4,1,21,0.8603988603988604,0.8556472016921989,0.7946675287289968,0.8971067033043156,0.08467296639966046,0.9662659096752086,0.4529186426464322,0.5276882661363682,3.513723843945748,0.11745014245014243,0.09045584045584044,0.07350427350427348,0.0034188034188033954
